Fe (uM),mu,author,,
0.0000020000000000,0.53,Sunda (1995) hux 175,,
0.0000039000000000,0.77,Sunda (1995) hux 175,,
0.0000071000000000,0.92,Sunda (1995) hux 175,,
0.0000197000000000,1.09,Sunda (1995) hux 175,,
0.0000520000000000,1.1,Sunda (1995) hux 175,,
0.0001670000000000,1.12,Sunda (1995) hux 175,,
0.0000030000000000,0.7,Sunda (1995) hux,,
0.0000050000000000,0.88,Sunda (1995) hux,,
0.0000097000000000,0.99,Sunda (1995) hux,,
0.0000242000000000,1.1,Sunda (1995) hux,,
0.0000710000000000,1.07,Sunda (1995) hux,,
0.0002530000000000,1.04,Sunda (1995) hux,,
0.0007500000000000,1.12,Sunda (1995) hux,,
0.0000030000000000,0.69,Sunda (1995) hux,,
0.0000051000000000,0.95,Sunda (1995) hux,,
0.0000093000000000,1.05,Sunda (1995) hux,,
0.0000031000000000,0.81,Sunda (1995) hux,,
0.0000051000000000,0.89,Sunda (1995) hux,,
0.0000093000000000,1.05,Sunda (1995) hux,,
0.0000193000000000,1.18,Sunda (1995) hux,,
0.0000730000000000,1.17,Sunda (1995) hux,,
0.0002430000000000,1.26,Sunda (1995) hux,,
0.0000030000000000,0.73,Sunda (1995) oce,,
0.0000106000000000,1.1,Sunda (1995) oce,,
0.0000282000000000,1.36,Sunda (1995) oce,,
0.0000780000000000,1.55,Sunda (1995) oce,,
0.0002530000000000,1.55,Sunda (1995) oce,,
0.0007600000000000,1.58,Sunda (1995) oce,,
0.0000020000000000,0.46,Sunda (1995) oce 175,,
0.0000039000000000,0.67,Sunda (1995) oce 175,,
0.0000071000000000,1.08,Sunda (1995) oce 175,,
0.0000193000000000,1.27,Sunda (1995) oce 175,,
0.0000520000000000,1.51,Sunda (1995) oce 175,,
0.0001660000000000,1.56,Sunda (1995) oce 175,,
0.0000030000000000,0.75,Sunda (1995) cal,,
0.0000055000000000,0.91,Sunda (1995) cal,,
0.0000107000000000,0.95,Sunda (1995) cal,,
0.0000303000000000,0.96,Sunda (1995) cal,,
0.0000800000000000,1.03,Sunda (1995) cal,,
0.0002520000000000,1.05,Sunda (1995) cal,,
0.0005800000000000,1.03,Sunda (1995) cal,,
0.0000050000000000,0.91,Sunda (1995) cal,,
0.0000105000000000,0.95,Sunda (1995) cal,,
0.0000280000000000,0.98,Sunda (1995) cal,,
0.0000239000000000,0.5,Sunda (1997) pse,,
0.0000740000000000,1.04,Sunda (1997) pse,,
0.0002440000000000,1.57,Sunda (1997) pse,,
0.0007300000000000,1.8,Sunda (1997) pse,,
0.0000103000000000,0,Sunda (1997) pse,,
0.0000283000000000,0.36,Sunda (1997) pse,,
0.0000770000000000,0.97,Sunda (1997) pse,,
0.0002520000000000,1.38,Sunda (1997) pse,,
0.0007600000000000,1.68,Sunda (1997) pse,,
0.0265000000000000,1.37,Sunda (1997) pse,,
0.0000030000000000,0,Sunda (1997) wei,,
0.0000055000000000,0,Sunda (1997) wei,,
0.0000108000000000,0,Sunda (1997) wei,,
0.0000276000000000,0.32,Sunda (1997) wei,,
0.0000550000000000,0.51,Sunda (1997) wei,,
0.0002710000000000,0.86,Sunda (1997) wei,,
0.0004500000000000,0.86,Sunda (1997) wei,,
0.0007500000000000,0.89,Sunda (1997) wei,,
0.0000044506000000,0.0646,Jabre (2020) 6,,
0.0000246478000000,0.1467,Jabre (2020) 6,,
0.0000428410000000,0.223,Jabre (2020) 6,,
0.0000746861000000,0.2826,Jabre (2020) 6,,
0.0001063122000000,0.3087,Jabre (2020) 6,,
0.0002124864000000,0.3109,Jabre (2020) 6,,
0.0010617703000000,0.3115,Jabre (2020) 6,,
0.0000103485000000,0.0646,Jabre (2020) 3,,
0.0000242955000000,0.093,Jabre (2020) 3,,
0.0000503429000000,0.1678,Jabre (2020) 3,,
0.0000860913000000,0.223,Jabre (2020) 3,,
0.0001254050000000,0.2223,Jabre (2020) 3,,
0.0002454692000000,0.2441,Jabre (2020) 3,,
0.0012481094000000,0.2469,Jabre (2020) 3,,
0.0000257950000000,0.0218,Jabre (2020) 1,,
0.0000536226000000,0.0683,Jabre (2020) 1,,
0.0000379856000000,0.0821,Jabre (2020) 1,,
0.0000972299000000,0.1228,Jabre (2020) 1,,
0.0001385333000000,0.1257,Jabre (2020) 1,,
0.0002762909000000,0.1475,Jabre (2020) 1,,
0.0014067875000000,0.1613,Jabre (2020) 1,,
0.0000019961813788,0.3511,Hudson (1990),,
0.0000063095734448,0.5139,Hudson (1990),,
0.0000062907148555,0.2973,Hudson (1990),,
0.0000196064966723,0.3807,Hudson (1990),,
0.0000193776005896,0.4818,Hudson (1990),,
0.0000196562198058,0.5684,Hudson (1990),,
0.0000630376478829,0.854,Hudson (1990),,
0.0000631538745374,0.9912,Hudson (1990),,
0.0000631975147595,1.049,Hudson (1990),,
0.0000632557486353,1.1103,Hudson (1990),,
0.0002006319064791,1.5439,Hudson (1990),,
0.0002034229743212,1.5944,Hudson (1990),,
0.0001997100866028,1.1973,Hudson (1990),,
0.0020174370856119,1.3749,Hudson (1990),,
0.0020137242498624,1.2233,Hudson (1990),,
0.0000002004933627,0.2854,Hudson (1990) br,,
0.0000019943436743,0.2825,Hudson (1990) br,,
0.0000204833035016,0.7093,Hudson (1990) br,,
0.0002045502431109,1.0241,Hudson (1990) br,,
0.0020601554903200,0.9778,Hudson (1990) br,,
0.0000276,0.3288,Sunda (1997) min,,
0.0000557,0.509,Sunda (1997) min,,
0.0002777,0.8563,Sunda (1997) min,,
0.0004701,0.8531,Sunda (1997) min,,
0.0007961,0.878,Sunda (1997) min,,
0.0027649,0.8824,Sunda (1997) min,,
0.0026763,0.7863,Sunda (1997) min,,
0.0081482,0.7875,Sunda (1997) min,,
0.0000116,0,Sunda (1997) mic,,
0.0000387,0.11,Sunda (1997) mic,,
0.0001148,0.2759,Sunda (1997) mic,,
0.0003993,0.3526,Sunda (1997) mic,,
0.0011803,0.3941,Sunda (1997) mic,,
0.0040566,0.3826,Sunda (1997) mic,,
